identification,Case Number,Date-Time,Date,Time,Block,Street,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location,Latitude,Longitude
7133306,HR542116,1/1/08 0:01,1/1/08,0:01,015XX N HARDING AVE,N HARDING AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2535,25,30,23,6,1149722,1910050,2008,9/26/09 1:04,"(41.90909371807239, -87.72542700477501)",41.90909372,-87.725427
6428181,HP508746,1/1/08 0:01,1/1/08,0:01,047XX N KARLOV AVE,N KARLOV AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1722,17,39,14,26,1148255,1931007,2008,8/17/08 1:04,"(41.96662993094192, -87.73027456353813)",41.96662993,-87.73027456
9028945,HW176406,1/1/08 0:01,1/1/08,0:01,016XX N KEATING AVE,N KEATING AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2533,,37,25,6,,,2008,3/10/13 0:43,,,
7321213,HS126344,1/1/08 0:01,1/1/08,0:01,008XX N KEDVALE AVE,N KEDVALE AVE,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,APARTMENT,FALSE,FALSE,1111,,37,23,17,,,2008,1/28/10 1:13,,,
6637758,HP657645,1/1/08 0:01,1/1/08,0:01,048XX N KEELER AVE,N KEELER AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,1712,17,39,14,20,1147469,1931916,2008,12/17/08 1:04,"(41.96913943782326, -87.73314117776133)",41.96913944,-87.73314118
6293300,HP373722,1/1/08 0:01,1/1/08,0:01,033XX N KENNETH AVE,N KENNETH AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,TRUE,1731,17,30,16,17,1146083,1921906,2008,1/8/09 1:04,"(41.9416977130535, -87.73849301970434)",41.94169771,-87.73849302
6369697,HP456217,1/1/08 0:01,1/1/08,0:01,016XX N KEYSTONE AVE,N KEYSTONE AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,2534,25,30,23,17,1149084,1910869,2008,7/20/08 1:03,"(41.91135351805488, -87.72774950243576)",41.91135352,-87.7277495
8035573,HT266922,1/1/08 0:01,1/1/08,0:01,021XX N KEYSTONE AVE,N KEYSTONE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2525,,30,20,6,,,2008,5/2/11 0:38,,,
6220990,HP306178,1/1/08 0:01,1/1/08,0:01,032XX N KILBOURN AVE,N KILBOURN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1731,17,30,16,6,1145849,1921145,2008,5/9/08 1:05,"(41.93961391389352, -87.73937245561461)",41.93961391,-87.73937246
6716877,HR131781,1/1/08 0:01,1/1/08,0:01,043XX N KNOX AVE,N KNOX AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,1722,17,45,16,6,1144300,1928244,2008,2/2/09 1:03,"(41.95912350198424, -87.7448864155057)",41.9591235,-87.74488642
6068677,HP160966,1/1/08 0:01,1/1/08,0:01,006XX N LA SALLE DR,N LA SALLE DR,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,FALSE,FALSE,1832,18,42,8,7,1174981,1904599,2008,2/17/08 1:05,"(41.89360717771272, -87.63280097973264)",41.89360718,-87.63280098
8899730,HV572015,1/1/08 0:01,1/1/08,0:01,032XX N LAKE SHORE DR,N LAKE SHORE DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1925,,44,6,11,,,2008,12/5/12 0:41,,,
6579647,HP652171,1/1/08 0:01,1/1/08,0:01,009XX N LAMON AVE,N LAMON AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,ALLEY,FALSE,FALSE,1531,15,37,25,17,1143551,1906170,2008,11/19/08 1:04,"(41.8985643433007, -87.74819390955649)",41.89856434,-87.74819391
7574979,HS378084,1/1/08 0:01,1/1/08,0:01,047XX N LARAMIE AVE,N LARAMIE AVE,842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,FALSE,FALSE,1623,,45,15,6,,,2008,7/1/10 1:17,,,
6959291,HR364602,1/1/08 0:01,1/1/08,0:01,064XX N LEAVITT ST,N LEAVITT ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2412,,50,2,6,,,2008,6/15/09 1:03,,,
6154991,HP240371,1/1/08 0:01,1/1/08,0:01,021XX N LOCKWOOD AVE,N LOCKWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2515,25,37,19,26,1140660,1913870,2008,4/3/08 1:07,"(41.91974763461202, -87.75862302502914)",41.91974763,-87.75862303
6965642,HR369898,1/1/08 0:01,1/1/08,0:01,006XX N LONG AVE,N LONG AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1524,,37,25,6,,,2008,7/11/09 1:05,,,
7857179,HS670808,1/1/08 0:01,1/1/08,0:01,023XX N LOWELL AVE,N LOWELL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2522,,31,20,6,,,2008,1/1/11 0:38,,,
6306129,HP388163,1/1/08 0:01,1/1/08,0:01,049XX N MARINE DR,N MARINE DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2024,20,48,3,6,1169789,1933479,2008,6/25/08 1:04,"(41.97296995419037, -87.65102514251927)",41.97296995,-87.65102514
6084957,HP184245,1/1/08 0:01,1/1/08,0:01,031XX N MASON AVE,N MASON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2514,25,30,19,26,1136130,1920281,2008,2/23/08 1:05,"(41.937422236734825, -87.77511385362779)",41.93742224,-87.77511385
8372946,HT605925,1/1/08 0:01,1/1/08,0:01,041XX N MASON AVE,N MASON AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,TRUE,FALSE,1624,,38,15,2,,,2008,12/13/11 0:39,,,
6238527,HP324283,1/1/08 0:01,1/1/08,0:01,016XX N MC VICKER AVE,N MC VICKER AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2513,25,29,25,6,1135863,1910426,2008,5/17/08 1:05,"(41.91038375169924, -87.77633040615771)",41.91038375,-87.77633041
8020001,HT250964,1/1/08 0:01,1/1/08,0:01,031XX N MELVINA AVE,N MELVINA AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2511,,36,19,6,,,2008,4/23/11 0:39,,,
5999573,HP100039,1/1/08 0:01,1/1/08,0:01,010XX N MENARD AVE,N MENARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1511,15,29,25,08B,1137538,1906458,2008,1/10/08 1:05,"(41.899465065726666, -87.77027267976085)",41.89946507,-87.77027268
6303297,HP392355,1/1/08 0:01,1/1/08,0:01,044XX N MENARD AVE,N MENARD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1622,16,38,15,6,1136841,1928845,2008,6/30/08 1:03,"(41.96090998309095, -87.77229473755825)",41.96090998,-87.77229474
6357028,HP444663,1/1/08 0:01,1/1/08,0:01,009XX N MICHIGAN AVE,N MICHIGAN AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,1833,18,42,8,6,1177278,1907225,2008,8/7/08 1:05,"(41.90076127267197, -87.62428528531329)",41.90076127,-87.62428529
6418993,HP501173,1/1/08 0:01,1/1/08,0:01,0000X N MICHIGAN AVE,N MICHIGAN AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,124,1,42,32,6,1177348,1900539,2008,9/2/08 1:03,"(41.88241296871518, -87.62423112654919)",41.88241297,-87.62423113
6046325,HP145723,1/1/08 0:01,1/1/08,0:01,014XX N MILWAUKEE AVE,N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1424,14,1,24,14,1164034,1909498,2008,2/2/08 1:05,"(41.90728861716533, -87.67286683841567)",41.90728862,-87.67286684
6864088,HR269480,1/1/08 0:01,1/1/08,0:01,048XX N MILWAUKEE AVE,N MILWAUKEE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,1623,16,45,11,6,1139673,1931921,2008,4/21/09 1:06,"(41.96929944528628, -87.76180724895431)",41.96929945,-87.76180725
7310216,HS114814,1/1/08 0:01,1/1/08,0:01,027XX N MILWAUKEE AVE,N MILWAUKEE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,GROCERY FOOD STORE,FALSE,FALSE,1412,,35,22,6,,,2008,2/4/10 1:12,,,
6566286,HP639461,1/1/08 0:01,1/1/08,0:01,008XX N MONTICELLO AVE,N MONTICELLO AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1112,11,27,23,2,1151938,1905362,2008,10/29/08 1:04,"(41.896186010242005, -87.71741002593613)",41.89618601,-87.71741003
8467942,HV143934,1/1/08 0:01,1/1/08,0:01,065XX N MOZART ST,N MOZART ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2412,,50,2,6,,,2008,3/28/12 9:57,,,
6011136,HP116379,1/1/08 0:01,1/1/08,0:01,029XX N NORA AVE,N NORA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2511,25,36,18,26,1128869,1918625,2008,1/16/08 1:05,"(41.93300461238088, -87.80183751443862)",41.93300461,-87.80183751
6360220,HP445784,1/1/08 0:01,1/1/08,0:01,057XX N NOTTINGHAM AVE,N NOTTINGHAM AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1612,16,41,10,14,1128241,1937521,2008,7/23/08 1:04,"(41.98486798698579, -87.80371622650152)",41.98486799,-87.80371623
6342368,HP429767,1/1/08 0:01,1/1/08,0:01,033XX N PARIS AVE,N PARIS AVE,842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,FALSE,FALSE,1631,16,36,17,6,1121203,1921152,2008,7/10/08 1:04,"(41.94006598873388, -87.82995556953193)",41.94006599,-87.82995557
7165949,HR575615,1/1/08 0:01,1/1/08,0:01,011XX N PAULINA ST,N PAULINA ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,1322,,1,24,6,,,2008,10/14/09 1:04,,,
9100137,HW244688,1/1/08 0:01,1/1/08,0:01,003XX N PINE AVE,N PINE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,TRUE,TRUE,1523,,28,25,20,,,2008,5/8/13 0:40,,,
5999591,HP105002,1/1/08 0:01,1/1/08,0:01,040XX N PULASKI RD,N PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1722,17,39,16,14,1148961,1926622,2008,1/9/08 1:04,"(41.95458350287479, -87.72779262499883)",41.9545835,-87.72779262
6289306,HP376337,1/1/08 0:01,1/1/08,0:01,046XX N PULASKI RD,N PULASKI RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,POLICE FACILITY/VEH PARKING LOT,FALSE,FALSE,1722,17,39,14,14,1148843,1930800,2008,6/10/08 1:03,"(41.96605053108083, -87.72811793572744)",41.96605053,-87.72811794
6019317,HP123656,1/1/08 0:01,1/1/08,0:01,059XX N RAVENSWOOD AVE,N RAVENSWOOD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2012,20,40,77,6,1163353,1939424,2008,1/23/08 14:56,"(41.9894214651333, -87.6745234525086)",41.98942147,-87.67452345
6142122,HP231431,1/1/08 0:01,1/1/08,0:01,019XX N RIDGEWAY AVE,N RIDGEWAY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,2535,25,26,22,26,1151027,1912703,2008,3/26/08 1:05,"(41.916348317004505, -87.72056336726615)",41.91634832,-87.72056337
6695514,HP613784,1/1/08 0:01,1/1/08,0:01,027XX N RUTHERFORD AVE,N RUTHERFORD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2512,25,36,18,20,1130990,1917512,2008,1/10/09 1:04,"(41.92991406179605, -87.79406858882801)",41.92991406,-87.79406859
7581368,HS385037,1/1/08 0:01,1/1/08,0:01,037XX N SACRAMENTO AVE,N SACRAMENTO AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1733,,33,16,6,,,2008,7/6/10 1:12,,,
7966178,HT197999,1/1/08 0:01,1/1/08,0:01,075XX N SHERIDAN RD,N SHERIDAN RD,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2422,,49,1,6,,,2008,3/20/11 0:38,,,
8186190,HT420001,1/1/08 0:01,1/1/08,0:01,047XX N SHERIDAN RD,N SHERIDAN RD,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,2312,,46,3,6,,,2008,8/16/11 0:39,,,
6473734,HP552090,1/1/08 0:01,1/1/08,0:01,030XX N SOUTHPORT AVE,N SOUTHPORT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,1932,19,32,6,26,1166474,1920430,2008,10/30/08 1:04,"(41.93723475386756, -87.66359003846068)",41.93723475,-87.66359004
6125347,HP214123,1/1/08 0:01,1/1/08,0:01,039XX N SPAULDING AVE,N SPAULDING AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1733,17,33,16,6,1153725,1926064,2008,4/30/08 9:10,"(41.95295860685493, -87.71029423585291)",41.95295861,-87.71029424
7912101,HT142143,1/1/08 0:01,1/1/08,0:01,028XX N SPRINGFIELD AVE,N SPRINGFIELD AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,2523,,30,21,17,,,2008,6/2/11 0:38,,,
9024992,HW172238,1/1/08 0:01,1/1/08,0:01,005XX N SPRINGFIELD AVE,N SPRINGFIELD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1122,,27,23,6,,,2008,3/2/13 0:40,,,
6598354,HP660414,1/1/08 0:01,1/1/08,0:01,024XX N STOCKTON DR,N STOCKTON DR,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2333,19,43,7,7,1173352,1916909,2008,12/17/08 1:04,"(41.92742276298878, -87.63841739002532)",41.92742276,-87.63841739
6119142,HP207835,1/1/08 0:01,1/1/08,0:01,007XX N WABASH AVE,N WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1833,18,42,8,11,1176635,1905590,2008,3/16/08 1:05,"(41.89628931332152, -87.62669650215871)",41.89628931,-87.6266965
9249024,HW394773,1/1/08 0:01,1/1/08,0:01,002XX N WALLER AVE,N WALLER AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,TRUE,1512,,29,25,2,,,2008,8/8/13 0:42,,,
6366517,HP451815,1/1/08 0:01,1/1/08,0:01,064XX N WASHTENAW AVE,N WASHTENAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2412,24,50,2,08B,1157191,1942811,2008,7/25/08 1:03,"(41.998843370497774, -87.69709572968942)",41.99884337,-87.69709573
6950818,HR355857,1/1/08 0:01,1/1/08,0:01,044XX N WINCHESTER AVE,N WINCHESTER AVE,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,1922,,47,4,6,,,2008,6/6/09 1:05,,,
6705232,HP513559,1/1/08 0:01,1/1/08,0:01,067XX S ABERDEEN ST,S ABERDEEN ST,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,724,7,17,68,08A,1170193,1859782,2008,1/16/09 1:04,"(41.77073105151875, -87.65169159298542)",41.77073105,-87.65169159
7537207,HS340464,1/1/08 0:01,1/1/08,0:01,024XX S ALBANY AVE,S ALBANY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1033,,12,30,6,,,2008,6/9/10 1:18,,,
7722489,HS529768,1/1/08 0:01,1/1/08,0:01,065XX S ALBANY AVE,S ALBANY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,831,,15,66,6,,,2008,10/22/10 0:50,,,
6047766,HP149249,1/1/08 0:01,1/1/08,0:01,002XX S ASHLAND AVE,S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1211,12,2,28,11,1165820,1899119,2008,2/17/08 1:05,"(41.87876995639054, -87.66660236353988)",41.87876996,-87.66660236
8085529,HT318456,1/1/08 0:01,1/1/08,0:01,115XX S ASHLAND AVE,S ASHLAND AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2234,,34,75,6,,,2008,6/15/11 0:40,,,
6221196,HP305896,1/1/08 0:01,1/1/08,0:01,078XX S AVALON AVE,S AVALON AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,411,4,8,45,6,1185867,1853225,2008,6/6/08 1:05,"(41.752382775353254, -87.59444372224675)",41.75238278,-87.59444372
6245647,HP332999,1/1/08 0:01,1/1/08,0:01,096XX S AVENUE M,S AVENUE M,843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,432,4,10,52,6,1201416,1841741,2008,6/17/08 1:03,"(41.72048931502878, -87.53785354634066)",41.72048932,-87.53785355
8457000,HV134005,1/1/08 0:01,1/1/08,0:01,106XX S AVENUE M,S AVENUE M,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,432,,10,52,2,,,2008,6/4/12 13:47,,,
